FECHA_DOC,DESCR,PRECIO_UNITARIO
2022-01-05,"TUB COBRE 5/16""ØX165MM CIRCULA1.5KW127V",434.48
2022-01-05,"TUA U"" 5/16 ØX250MM 1200W 120V TAP1""NPT",1264.05
2022-01-05,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 7 MT,551.61
2022-01-05,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,140.0
2022-01-05,BAN P INOX 115MMX235MM 1000W 127V T/TOR,172.41
2022-01-05,BAN P INOX 55MMX235MM 450W 127V T/TOR,237.07
2022-01-05,REPARACION DE BATIDOR 16.6KW 440V,14000.0
2022-01-05,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,94.5
2022-01-05,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
2022-01-05,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
2022-01-05,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
2022-01-05,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
2022-01-05,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
2022-01-05,BOB 8020 CAL.26 127V BAS28.5CMX27CM MICA,1485.25
2022-01-05,BC INOX 114MMØX165MM 1500W 230V C/ALLEN,2095.25
2022-01-05,"PT-100 1/8""ØX30MM EXT 1.5MT 3HILOS Z/ESP",192.5
2022-01-05,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",771.28
2022-01-05,"TER J 3/16""ØX2"" EXT.2MT CON-1/2"" NPT",125.0
2022-01-05,BAN MICA 120mmØx50mm 850W 440V TTORNILLO,821.3
2022-01-05,BAN MICA Ø120MM X 50 MM 700W 440V T TOR,821.3
2022-01-05,BAN INOX 36MMØX25MM 150W 240V EXT30CM,496.35
2022-12-23,"TUB INOX 1/2""ØX75CM ""U"" 30KW440V BRIDA6""",12500.0
2022-12-23,FAB  BOBINA DSD1 6 COLOCAR B/NUEVA 488V,1897.27
2022-12-23,"TIRA INOX 38MMX6"" 150W 127V T/TIPO H",510.0
2022-12-23,BAN P INOX 1800x25mm 2800W 440V. CABLE,1888.0
2022-12-23,"TER J 3/16""ØX1/2"" EXT3MT MALLA INOX  Z/E",439.15
2022-12-23,BL INOX 60mmØx50mm 400W 120/240V EXT30CM,925.82
2022-12-23,BAN INOX 146MMØX40MM 500W230V CINT/ALLEN,1910.5
2022-12-23,"BAN INOX 9""ØX3"" ANCH 1700W 230V T/CABLE",2020.42
2022-12-23,PT-100 7.5MMØX95MM EXT.48CM 3H C/MACHO,1177.07
2022-12-23,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM",712.0
2022-12-23,"CAS INOX 1/2""ØX4"" 500W 127V EXT30CM",718.6
2022-12-23,"TUB INOX 5/16""ØX300MM 5300W 220V ""M"" ESP",2182.35
2022-12-23,"TUB INOX 1/2""ØX500MM 10KW 220V 2 1/2""NPT",5909.84
2022-12-23,FAB  BOBINA DSD1 6 COLOCAR B/NUEVA 488V,1406.0
